event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2023-07-14T20:00:00Z,SOLUSDT,181304395.94057983,-0.14411377930125913,0.0058219178082191785,-0.07050583588500049,Medium,1,2023-07-14T16:00:00Z,0.00017912,0.9871794871794872,1,unknown
2023-08-17T20:00:00Z,ETHUSDT,1429213116.1364596,-0.11658079107015673,0.004223744292237443,-0.03477606435533246,Medium,1,2023-08-17T16:00:00Z,7.146e-05,0.5853881278538813,0,unknown
2023-08-17T21:00:00Z,SOLUSDT,88977617.365,-0.19046712488777817,0.0021689497716894978,-0.07289059649011066,Severe,2,2023-08-17T16:00:00Z,3.019e-05,0.4811965811965812,0,unknown
2023-08-31T19:00:00Z,BTCUSDT,2188103335.7568,-0.09803969699790227,0.0091324200913242,-0.03690210051639373,Mild,0,2023-08-31T16:00:00Z,8.105e-05,0.6054794520547945,0,unknown
2023-09-18T21:00:00Z,BTCUSDT,2392155334.7628,-0.09391810009803969,0.009360730593607305,-0.01598804298265142,Mild,0,2023-09-18T16:00:00Z,-6.774e-05,0.0182648401826484,0,bear
2023-09-27T19:00:00Z,BTCUSDT,2354882179.9869,-0.09101459137298085,0.009817351598173516,-0.01366705277291004,Mild,0,2023-09-27T16:00:00Z,2.074e-05,0.23881278538812786,0,bear
2023-10-24T18:00:00Z,ETHUSDT,1232499696.2848,-0.0956409822630443,0.007077625570776256,-0.0352752834376669,Mild,0,2023-10-24T16:00:00Z,0.0001,0.8515981735159818,0,bear
2023-10-26T14:00:00Z,ETHUSDT,1290646427.9024212,-0.09153620383962535,0.008675799086757991,-0.03064892277365876,Mild,0,2023-10-26T08:00:00Z,0.0001,0.8497716894977169,0,bull
2023-11-01T23:00:00Z,SOLUSDT,227181527.79917473,-0.16171562032645337,0.0029680365296803654,-0.07391034403718538,Severe,2,2023-11-01T16:00:00Z,-0.00041129,0.12051282051282051,0,bull
2023-11-02T17:00:00Z,BTCUSDT,2835042263.3227606,-0.08972026011750778,0.009246575342465754,-0.01720983308399234,Mild,0,2023-11-02T16:00:00Z,0.0001,0.8420091324200913,0,bull
2023-11-09T16:00:00Z,SOLUSDT,214368232.4039996,-0.16548818615854555,0.002625570776255708,-0.029770018053338513,Severe,2,2023-11-09T08:00:00Z,0.0001,0.8153846153846154,0,bull
2023-11-13T14:00:00Z,SOLUSDT,268511248.4614406,-0.13828846318356258,0.006392694063926941,-0.057176363949791455,Medium,1,2023-11-13T08:00:00Z,0.00033025,0.9947368421052631,1,bull
2023-11-13T21:00:00Z,ETHUSDT,1663692853.30941,-0.08728713092890938,0.00993150684931507,-0.022339423327058294,Mild,0,2023-11-13T16:00:00Z,0.00022833,0.9899543378995433,1,bull
2023-11-14T18:00:00Z,BTCUSDT,2696705268.83953,-0.10511889245840689,0.006050228310502283,-0.03198731155756278,Medium,1,2023-11-14T16:00:00Z,0.00014477,0.9844748858447488,1,bull
2023-11-23T03:00:00Z,ETHUSDT,0.0,-1.0,5.7077625570776254e-05,-0.010406272908136692,Severe,2,2023-11-23T00:00:00Z,0.0001,0.8077625570776256,0,bull
2023-11-23T03:00:00Z,SOLUSDT,0.0,-1.0,5.7077625570776254e-05,-0.004482100762169467,Severe,2,2023-11-23T00:00:00Z,0.0001,0.776255707762557,0,bull
2023-11-26T00:00:00Z,BTCUSDT,0.0,-1.0,0.00011415525114155251,-0.0020786454917292355,Severe,2,2023-11-25T16:00:00Z,0.0001,0.8054794520547945,0,bull
2023-11-26T00:00:00Z,ETHUSDT,0.0,-1.0,0.00011415525114155251,-7.608719080905496e-05,Severe,2,2023-11-25T16:00:00Z,0.0001,0.8041095890410959,0,bull
2023-12-04T11:00:00Z,SOLUSDT,329142969.75448513,-0.13612671951649524,0.0069634703196347035,-0.04342654971721755,Mild,0,2023-12-04T08:00:00Z,0.00053853,1.0,1,bull
2023-12-11T02:00:00Z,BTCUSDT,3171140960.528462,-0.14128953042911974,0.0030821917808219177,-0.04742675937554055,Severe,2,2023-12-11T00:00:00Z,0.0001473,0.9780821917808219,1,bull
2023-12-11T02:00:00Z,ETHUSDT,1821754110.555152,-0.10699338727489116,0.003995433789954338,-0.06412536983027126,Medium,1,2023-12-11T00:00:00Z,0.00024112,0.9881278538812786,1,bull
2023-12-26T18:00:00Z,SOLUSDT,504699107.36229897,-0.13006585885686273,0.0091324200913242,-0.08113113947435469,Mild,0,2023-12-26T16:00:00Z,0.00014423,0.9388127853881278,0,bull
2024-01-03T12:00:00Z,SOLUSDT,493883211.0587804,-0.1634698496840834,0.003310502283105023,-0.08641323855721544,Medium,1,2024-01-03T08:00:00Z,0.00013468,0.9178082191780822,0,bull
2024-01-03T14:00:00Z,ETHUSDT,1670278278.384688,-0.12215889495258181,0.0029680365296803654,-0.07807287613436259,Severe,2,2024-01-03T08:00:00Z,0.00024384,0.960730593607306,1,bull
2024-01-12T22:00:00Z,SOLUSDT,395232155.34,-0.13577762718521713,0.007876712328767124,-0.05119026934028085,Mild,0,2024-01-12T16:00:00Z,0.0001,0.6881278538812785,0,bull
2024-01-12T23:00:00Z,BTCUSDT,3207679278.1044,-0.1124092502890851,0.0069634703196347035,-0.023758867533352313,Mild,0,2024-01-12T16:00:00Z,0.0001,0.7273972602739726,0,bull
2024-02-28T21:00:00Z,BTCUSDT,4570123602.2691,-0.09730313160139914,0.009263494967978042,-0.006274105392111301,Mild,0,2024-02-28T16:00:00Z,0.00053538,0.9963470319634703,1,bull
2024-03-05T18:00:00Z,BTCUSDT,5006154089.6568,-0.09708137744611545,0.008806038426349496,-0.05057521604634818,Mild,0,2024-03-05T16:00:00Z,0.00088148,1.0,1,bull
2024-03-05T19:00:00Z,ETHUSDT,2518703747.4006896,-0.15471079786791897,0.0017154620311070447,-0.1140552001210163,Severe,2,2024-03-05T16:00:00Z,0.00082409,0.9990867579908675,1,bull
2024-03-05T19:00:00Z,SOLUSDT,765792595.9069995,-0.143247530772178,0.0054894784995425435,-0.10983280487267992,Medium,1,2024-03-05T16:00:00Z,0.0011456,0.9990867579908675,1,bull
2024-03-19T05:00:00Z,SOLUSDT,999174804.132,-0.1305121278193503,0.008577310155535225,-0.054498785174408246,Mild,0,2024-03-19T00:00:00Z,0.0002092,0.873972602739726,0,bull
2024-03-19T11:00:00Z,ETHUSDT,2704497771.68275,-0.08049499122735337,0.009720951509606588,-0.03214889561725257,Mild,0,2024-03-19T08:00:00Z,0.00023311,0.9050228310502283,0,bull
2024-04-02T02:00:00Z,BTCUSDT,5326380479.984,-0.099900492984627,0.006861848124428179,-0.04008966864292162,Mild,0,2024-04-02T00:00:00Z,0.00010926,0.8347031963470319,0,bull
2024-04-02T02:00:00Z,ETHUSDT,2835674107.9851203,-0.08382123211500259,0.008577310155535225,-0.03802061487134079,Mild,0,2024-04-02T00:00:00Z,0.00015034,0.8502283105022831,0,bull
2024-04-12T18:00:00Z,ETHUSDT,2556433979.82441,-0.12581926313532366,0.0026303751143641353,-0.08520196265036004,Severe,2,2024-04-12T16:00:00Z,0.0001,0.6337899543378995,0,bull
