event_id,symbol,day,ok,status,quote_volume
P0RES018-00142,VANRYUSDT,2024-03-18,True,200,107372392.13392
P0RES018-00142,VANRYUSDT,2024-03-15,True,200,96862056.00886002
P0RES018-00140,WLDUSDC,2024-03-13,False,curl_exit_56,
P0RES018-00143,BOMEUSDT,2024-03-16,True,200,1656253344.7342958
P0RES018-00142,VANRYUSDT,2024-03-19,True,200,130500066.19848001
P0RES018-00143,BOMEUSDT,2024-03-18,True,200,2319227151.7909594
P0RES018-00144,ETHFIUSDT,2024-03-18,True,200,89429411.4673
P0RES018-00143,BOMEUSDT,2024-03-20,True,200,1617372442.626403
P0RES018-00143,BOMEUSDT,2024-03-17,True,200,2078439237.5381532
P0RES018-00143,BOMEUSDT,2024-03-19,True,200,2611097776.3337946
P0RES018-00144,ETHFIUSDT,2024-03-20,True,200,505843713.3411001
P0RES018-00143,BOMEUSDT,2024-03-22,True,200,2034842398.881255
P0RES018-00143,BOMEUSDT,2024-03-21,True,200,1551358219.2281718
P0RES018-00144,ETHFIUSDT,2024-03-19,True,200,183400532.33459997
P0RES018-00144,ETHFIUSDT,2024-03-24,True,200,156771973.20229998
P0RES018-00144,ETHFIUSDT,2024-03-23,True,200,246074874.12199998
P0RES018-00145,ENAUSDT,2024-04-03,True,200,2189885323.657
P0RES018-00145,ENAUSDT,2024-04-02,True,200,628701439.352
P0RES018-00145,ENAUSDT,2024-04-04,True,200,1658799220.932
P0RES018-00144,ETHFIUSDT,2024-03-22,True,200,206265021.8565
P0RES018-00144,ETHFIUSDT,2024-03-21,True,200,357924905.8352
P0RES018-00145,ENAUSDT,2024-04-07,True,200,1306880605.7910001
P0RES018-00146,WUSDT,2024-04-03,True,200,301188634.8786
P0RES018-00146,WUSDT,2024-04-06,True,200,450751044.45049995
P0RES018-00146,WUSDT,2024-04-05,True,200,399633620.9845
P0RES018-00145,ENAUSDT,2024-04-08,True,200,1525236303.6470003
P0RES018-00145,ENAUSDT,2024-04-05,True,200,1319147953.9739997
P0RES018-00145,ENAUSDT,2024-04-06,True,200,1334519191.9339998
P0RES018-00146,WUSDT,2024-04-04,True,200,580369454.9255999
P0RES018-00146,WUSDT,2024-04-08,True,200,254962617.28550002
P0RES018-00146,WUSDT,2024-04-07,True,200,241983454.848
P0RES018-00146,WUSDT,2024-04-09,True,200,349608496.3275999
P0RES018-00147,TNSRUSDT,2024-04-09,True,200,735502974.3418
P0RES018-00147,TNSRUSDT,2024-04-11,True,200,211085722.4923
P0RES018-00147,TNSRUSDT,2024-04-10,True,200,234737193.04320002
P0RES018-00147,TNSRUSDT,2024-04-08,True,200,170515798.7714
P0RES018-00147,TNSRUSDT,2024-04-12,True,200,256270630.4642
P0RES018-00148,SAGAUSDT,2024-04-13,True,200,390508396.91862
P0RES018-00148,SAGAUSDT,2024-04-12,True,200,454225425.7306101
P0RES018-00147,TNSRUSDT,2024-04-13,True,200,207564751.69320002
P0RES018-00148,SAGAUSDT,2024-04-11,True,200,443580320.38781
P0RES018-00147,TNSRUSDT,2024-04-14,True,200,160088738.0258
P0RES018-00148,SAGAUSDT,2024-04-10,True,200,606808334.3843501
P0RES018-00148,SAGAUSDT,2024-04-14,True,200,318301922.76183003
P0RES018-00148,SAGAUSDT,2024-04-15,True,200,196655376.19288996
P0RES018-00148,SAGAUSDT,2024-04-09,True,200,909880035.5298998
P0RES018-00149,TAOUSDT,2024-04-12,True,200,252383089.37028
P0RES018-00149,TAOUSDT,2024-04-15,True,200,105000043.55586
P0RES018-00149,TAOUSDT,2024-04-13,True,200,122305697.01259999
P0RES018-00149,TAOUSDT,2024-04-14,True,200,229745601.04330003
P0RES018-00149,TAOUSDT,2024-04-11,True,200,121324793.64582002
P0RES018-00149,TAOUSDT,2024-04-16,True,200,103909965.40222
P0RES018-00150,OMNIUSDT,2024-04-19,True,200,241574094.51880005
P0RES018-00150,OMNIUSDT,2024-04-17,True,200,242288622.9034
P0RES018-00149,TAOUSDT,2024-04-17,True,200,83411573.52058
P0RES018-00150,OMNIUSDT,2024-04-18,True,200,474269231.79
P0RES018-00150,OMNIUSDT,2024-04-20,True,200,183132992.15159997
P0RES018-00151,REZUSDT,2024-04-30,True,200,222787572.57740003
P0RES018-00150,OMNIUSDT,2024-04-22,True,200,112422118.38069999
