symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
SOL,2022-07-04 12:00:00,4154,2022,34.3,34.4,-0.012615687342213914,0.04112515555938796,0.11758865330568882
SOL,2022-07-04 16:00:00,4155,2022,34.87,34.98,0.023803900918797437,0.039639764559376074,0.11090861808677467
BTC,2022-07-05 00:00:00,7681,2022,20312.98,20354.01,-0.017957265748134006,0.008218494304003328,0.062017312756404236
ETH,2022-07-05 00:00:00,7681,2022,1153.13,1160.9,-0.019483893571574904,0.01978341257137428,0.05391704661778586
SOL,2022-07-05 00:00:00,4157,2022,35.85,36.94,-0.008122156399925478,0.03400382445587003,0.06688931234683428
ETH,2022-07-05 04:00:00,7682,2022,1158.26,1163.31,-0.01645217774032866,0.015701545354992148,0.056038291402020136
BTC,2022-07-05 16:00:00,7685,2022,20398.21,20478.4,-0.003420849973400407,0.0670346727012288,0.05823641306886623
BTC,2022-07-05 20:00:00,7686,2022,20175.83,20500.0,0.019081421173606727,0.06936377462745595,0.0678296490637386
BTC,2022-07-07 20:00:00,7698,2022,21624.98,21837.74,-0.0013988983702488548,-0.0015341255637172737,-0.07993801170876884
SOL,2022-07-08 00:00:00,4175,2022,38.64,39.29,-0.008055129951853547,-0.03315220731690039,-0.13886948359213894
BTC,2022-07-14 16:00:00,7739,2022,20605.75,20762.02,0.02681887074838662,0.02805547641205242,0.0479524373066563
SOL,2022-07-14 20:00:00,4216,2022,37.15,37.2,0.005636842196873773,0.06336016901065142,0.15825683138391905
ETH,2022-07-15 00:00:00,7741,2022,1199.92,1214.65,0.01836489717036342,0.12051282196485477,0.23397869813094066
BTC,2022-07-15 04:00:00,7742,2022,20835.38,20900.0,-0.013977467663958782,0.029892784327050025,0.04364515830104089
BTC,2022-07-15 08:00:00,7743,2022,20769.74,20936.0,-0.007396177814623644,0.03254402564437605,0.05638511535601753
ETH,2022-07-15 08:00:00,7743,2022,1211.1,1222.92,-0.010942318044629607,0.11851121751758037,0.24143449926510652
SOL,2022-07-15 08:00:00,4219,2022,37.71,37.88,-0.025787085611420037,0.053438962155560314,0.1886657493653278
BTC,2022-07-15 12:00:00,7744,2022,20792.19,21059.32,0.007227981201453573,0.018011901009258532,0.10681586835755044
ETH,2022-07-15 12:00:00,7744,2022,1222.13,1230.0,0.04182531222608983,0.10095275661853209,0.2314728518328391
SOL,2022-07-15 12:00:00,4220,2022,37.69,38.51,0.006611157227824039,0.04132067620722124,0.21177645717715093
BTC,2022-07-15 20:00:00,7746,2022,20830.04,21189.0,0.01739743738897494,-0.0015316543224279033,0.11619539190782179
ETH,2022-07-15 20:00:00,7746,2022,1231.25,1270.42,0.09639865042623087,0.08363172994044923,0.22525786280491478
SOL,2022-07-15 20:00:00,4222,2022,37.36,38.88,0.057723326813777696,0.033169663639726434,0.18316880662725002
BTC,2022-07-16 16:00:00,7751,2022,21192.04,21200.0,-0.007825446997115381,0.019896960894603924,0.1101762798107752
ETH,2022-08-23 16:00:00,7979,2022,1650.62,1655.44,0.01680318039438927,0.033645049495521245,-0.10935891838823432
BTC,2022-08-24 16:00:00,7985,2022,21707.58,21800.0,-0.004727481850616432,-0.05021402137511715,-0.0832420961796261
ETH,2022-08-24 16:00:00,7985,2022,1678.59,1688.0,0.01684186910113188,-0.07340936962806882,-0.12370504533413952
ETH,2022-08-30 08:00:00,8019,2022,1584.88,1600.84,0.006296073657401639,-0.0043568094159461696,-0.023118653791395903
SOL,2022-08-30 08:00:00,4495,2022,32.75,33.06,-0.005204358907361867,-0.04050397893481142,-0.05362626676624296
ETH,2022-08-31 04:00:00,8024,2022,1584.83,1618.0,-0.025712168903428156,0.005951350009826859,-0.025168486607605702
SOL,2022-09-05 00:00:00,4529,2022,32.1,32.38,0.019436058377118755,-0.03874730497939481,0.07903573067698878
ETH,2022-09-06 04:00:00,8060,2022,1658.77,1676.0,-0.08847190341710691,-0.027639643299647004,0.031001631046422444
ETH,2022-09-06 12:00:00,8062,2022,1669.85,1678.7,-0.07824725286672414,-0.02442376230692339,0.027128157413269505
SOL,2022-09-08 12:00:00,4550,2022,33.4,33.9,0.045934651092629813,0.03240342405465943,0.10613865594190497
SOL,2022-09-09 08:00:00,4555,2022,35.37,35.54,-0.017972242404430253,-0.017109057197619033,0.08375473694324448
BTC,2022-09-09 16:00:00,8081,2022,21291.62,21337.72,0.013411685605095005,0.015212270343887616,-0.04850187632928673
BTC,2022-09-09 20:00:00,8082,2022,21360.11,21437.9,0.013403613252505489,0.021616615721589294,-0.0571518320492821
BTC,2022-09-10 04:00:00,8084,2022,21283.87,21597.22,0.01527560886126172,0.041856252505644294,-0.05009648921269428
BTC,2022-09-10 20:00:00,8088,2022,21648.34,21672.24,0.008213002469083833,0.03394198505935467,-0.06792476894775779
BTC,2022-09-11 16:00:00,8093,2022,21617.99,21810.8,0.03669872890387306,-0.06371414667317436,-0.08873520690221423
SOL,2022-09-11 16:00:00,4569,2022,35.27,35.96,0.06503457046921825,-0.03402865809814893,-0.05387822108071305
BTC,2022-09-12 00:00:00,8095,2022,21656.87,21860.0,0.026191075445095503,-0.06356750730941214,-0.09243407897684364
SOL,2022-09-12 00:00:00,4571,2022,34.91,36.0,0.10538916033493118,-0.038247254147785965,-0.06051720850782251
