symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
SOL,2023-12-18 08:00:00,7345,2023-2024,69.01,68.56,0.07829114951078543,0.11046267815739123,0.3067001920289298
BTC,2023-12-26 08:00:00,10917,2023-2024,42685.55,42500.0,0.007783980105818094,0.008733572000228998,-0.018718791675239863
ETH,2023-12-26 08:00:00,10917,2023-2024,2242.6,2220.0,0.019137036686784414,0.06844097868287546,0.020103353412138095
BTC,2023-12-29 20:00:00,10938,2023-2024,42066.95,41637.6,0.0017416561151908701,0.005136434264921061,0.06621961874983721
BTC,2024-01-03 12:00:00,10966,2023-2024,43000.01,42056.0,0.02414997544188329,0.011560819727994564,0.0240698380231937
SOL,2024-01-03 12:00:00,7442,2023-2024,102.06,99.78,0.015555437125735047,-0.0402873213621906,-0.08269171584511341
SOL,2024-01-07 00:00:00,7463,2023-2024,92.9,91.53,-0.06274608473725629,0.07154433207642828,0.07684143106481757
ETH,2024-01-07 20:00:00,10992,2023-2024,2221.42,2206.17,0.04791045990948524,0.05383595315699459,0.16426785614852987
SOL,2024-01-12 20:00:00,7498,2023-2024,92.12,91.68,0.03969239453916903,0.018179385185375097,0.057887872234389216
BTC,2024-01-18 20:00:00,11058,2023-2024,41327.5,40831.99,0.007990013891329613,0.00887802232157977,-0.043506921707140905
ETH,2024-01-18 20:00:00,11058,2023-2024,2470.81,2430.0,0.008539568821651248,0.000485552791150226,-0.06548197664345545
SOL,2024-02-16 12:00:00,7706,2023-2024,109.67,108.25,-0.022779608135415835,0.02387608350538338,-0.02820474537750257
SOL,2024-02-20 12:00:00,7730,2023-2024,106.62,105.0,-0.026227272978442136,-0.011603356448769614,-0.04478861437415084
BTC,2024-02-21 12:00:00,11260,2023-2024,51156.0,50760.37,0.008688395462718348,-0.004798616712428877,0.0071683191313129495
SOL,2024-02-21 12:00:00,7736,2023-2024,103.86,102.28,0.014623916529672567,-0.034977849316055847,-0.010453056852089368
SOL,2024-02-21 16:00:00,7737,2023-2024,102.04,101.01,0.014593118200144542,-0.006390426309122308,0.012853146760680953
SOL,2024-02-23 12:00:00,7748,2023-2024,100.29,100.23,0.016416507920347274,0.024524792463966535,0.06298556600148704
SOL,2024-02-23 16:00:00,7749,2023-2024,101.39,100.18,0.025897085875154886,0.01924357306980333,0.06694586870871198
BTC,2024-02-23 20:00:00,11274,2023-2024,50744.15,50625.0,0.016109250933854777,0.019219312612743067,0.11690980073581918
SOL,2024-02-24 00:00:00,7751,2023-2024,100.23,98.64,0.03094397473111829,0.0320074446433067,0.07058128636388902
BTC,2024-03-05 16:00:00,11339,2023-2024,61410.98,61320.0,0.08320803533649312,0.09450961758796654,0.10476075250401724
ETH,2024-03-05 16:00:00,11339,2023-2024,3376.46,3360.0,0.1319178260169748,0.13647577806788974,0.13931140773439446
ETH,2024-03-11 00:00:00,11371,2023-2024,3866.93,3791.26,0.04098035050618644,0.044718987522263165,-0.038146019245824316
SOL,2024-03-11 00:00:00,7847,2023-2024,141.17,140.43,0.066652527877695,0.05585889920292545,0.22063278704955763
