symbol,signal_time,entry_time,exit_time,entry_price,exit_price,exit_reason,initial_quantity,initial_notional,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,trade_return_on_notional,expectancy_r,holding_bars,holding_hours
BTC,2022-04-06 00:00:00,2022-04-06 04:00:00,2022-04-10 00:00:00,45238.48793999999,42764.32714,TIME_T24,0.32473686710968513,14690.604846414872,146906.0484641487,5.876241938565949,11.43110338636486,13.90607835504026,-803.4512269175892,-828.7884086589943,-0.005641622093328946,-0.05641622093328946,-0.05641622093328946,24,96
SOL,2022-04-06 08:00:00,2022-04-06 12:00:00,2022-04-10 08:00:00,121.68081,110.99447500000001,TIME_T24,120.47905489307821,14659.98898742422,146599.8898742422,5.863995594969688,11.212999373511048,4.546914265776297,-1287.4795410708211,-1303.2394547101085,-0.008889771034808189,-0.08889771034808187,-0.08889771034808187,24,96
ETH,2022-04-11 00:00:00,2022-04-11 04:00:00,2022-04-15 00:00:00,3176.8976549999998,3040.4790000000003,TIME_T24,4.545142349673965,14439.452072320408,144394.52072320407,5.775780828928164,11.303544775405904,-4.232030898425574,-620.0422061260597,-627.11372000304,-0.004343057595690772,-0.04343057595690772,-0.04343057595690772,24,96
BTC,2023-01-18 16:00:00,2023-01-18 20:00:00,2023-01-22 16:00:00,20915.822685,22710.788925000004,TIME_T24,0.6873619516114244,14376.740700320102,143767.40700320102,5.750696280128041,11.994909159377293,18.03119833797838,1233.791497803024,1203.7653903056682,0.008373006200764727,0.08373006200764725,0.08373006200764725,24,96
ETH,2023-01-18 16:00:00,2023-01-18 20:00:00,2023-01-22 16:00:00,1542.73098,1634.28245,TIME_T24,9.319019898284601,14376.740700320102,143767.40700320102,5.750696280128041,11.842660548514965,17.78488352488125,853.1699706472047,823.5424265738084,0.005728297141475689,0.05728297141475689,0.05728297141475689,24,96
ETH,2023-01-25 00:00:00,2023-01-25 04:00:00,2023-01-29 00:00:00,1547.403315,1593.5628199999999,TIME_T24,9.421894951807083,14579.471482008044,145794.71482008044,5.8317885928032185,11.837541188461401,17.90750793656824,434.91000713741244,405.1649580123828,0.0027790099148133117,0.027790099148133116,0.027790099148133116,24,96
BTC,2023-01-30 20:00:00,2023-01-31 00:00:00,2023-02-03 20:00:00,22838.79369,23420.184050000003,TIME_T24,0.6401383617826834,14619.987977809285,146199.87977809284,5.847995191123714,11.844858491290086,16.463289633986438,372.17027260664764,343.86212448137115,0.0023520000495437943,0.023520000495437943,0.023520000495437943,24,96
BTC,2023-02-06 04:00:00,2023-02-06 08:00:00,2023-02-10 04:00:00,22892.350455,21900.754145,TIME_T24,0.640142838065661,14654.374190257424,146543.74190257423,5.86174967610297,11.469594041766406,16.068554411704923,-634.7632760988374,-662.3014245523087,-0.004519479412451625,-0.04519479412451625,-0.04519479412451625,24,96
ETH,2023-02-06 04:00:00,2023-02-06 08:00:00,2023-02-10 04:00:00,1636.227705,1550.92415,TIME_T24,8.956194877691198,14654.374190257424,146543.74190257423,5.86174967610297,11.41790124727,16.108307596389547,-763.995262339849,-791.5214711835084,-0.005401264229418482,-0.05401264229418481,-0.05401264229418481,24,96
BTC,2023-02-10 04:00:00,2023-02-10 08:00:00,2023-02-14 04:00:00,21921.565305,21757.59576,TIME_T24,0.661859301505926,14508.99190068384,145089.9190068384,5.803596760273536,11.563783613138295,10.714848461373249,-108.52476852194445,-130.803400596456,-0.0009015333490557048,-0.009015333490557048,-0.009015333490557048,24,96
ETH,2023-02-10 20:00:00,2023-02-11 00:00:00,2023-02-14 20:00:00,1513.806525,1554.9321450000002,TIME_T24,9.570934023568771,14488.542375222909,144885.42375222908,5.795416950089164,11.748278138457673,6.586456908748832,393.6105956983628,375.2758606511562,0.00259015607596884,0.025901560759688396,0.025901560759688396,24,96
ETH,2023-02-21 20:00:00,2023-02-22 00:00:00,2023-02-25 20:00:00,1660.5998849999999,1593.78271,TIME_T24,8.751921084644248,14533.439146689314,145334.39146689314,5.813375658675726,11.392839860271906,11.82442244939744,-584.7786426988638,-607.995905008533,-0.00418342760355544,-0.0418342760355544,-0.0418342760355544,24,96
BTC,2023-02-22 16:00:00,2023-02-22 20:00:00,2023-02-26 16:00:00,23803.575839999998,23487.580335000002,TIME_T24,0.6088844322554605,14493.626760988194,144936.26760988194,5.797450704395278,11.517939511327675,7.345773787274366,-192.40474365719967,-211.26845695580172,-0.001457664533796765,-0.01457664533796765,-0.01457664533796765,24,96
ETH,2023-02-25 20:00:00,2023-02-26 00:00:00,2023-03-01 20:00:00,1595.37729,1664.38739,TIME_T24,9.046194062041824,14432.092567514375,144320.92567514375,5.7728370270057505,11.795385556747867,9.866814779084862,624.2787568409142,602.6165565050815,0.004175531397723494,0.04175531397723494,0.04175531397723494,24,96
ETH,2023-03-21 04:00:00,2023-03-21 08:00:00,2023-03-25 04:00:00,1731.2051699999997,1746.376375,TIME_T24,8.382469402019744,14511.774366143387,145117.74366143387,5.804709746457355,11.660288357596418,10.697289653494156,127.1721617042717,104.81458369318113,0.0007222726942180014,0.007222726942180014,0.007222726942180014,24,96
BTC,2023-03-22 20:00:00,2023-03-23 00:00:00,2023-03-26 20:00:00,27264.595484999998,27954.065975,TIME_T24,0.5323199505975036,14513.48812163612,145134.8812163612,5.805395248654448,11.757598056178992,5.983525342825415,367.01889717523835,349.2777737762339,0.0024065736013904526,0.024065736013904528,0.024065736013904528,24,96
ETH,2023-04-03 00:00:00,2023-04-03 04:00:00,2023-04-07 00:00:00,1779.2191649999997,1875.791635,TIME_T24,8.181782148176408,14557.183601890334,145571.83601890333,5.822873440756134,11.961800845932789,8.849840333596896,790.1349110513041,769.3232698717744,0.0052848359333179905,0.0528483593331799,0.0528483593331799,24,96
BTC,2023-04-03 20:00:00,2023-04-04 00:00:00,2023-04-07 20:00:00,27813.899999999998,27892.376835000003,TIME_T24,0.5242754266910524,14582.144290442262,145821.4429044226,5.832857716176905,11.682172822815808,2.456613812370277,41.14347615499091,27.004689519804824,0.0001851901132092405,0.001851901132092405,0.001851901132092405,24,96
BTC,2023-04-17 00:00:00,2023-04-17 04:00:00,2023-04-21 00:00:00,29997.7914,28307.249295,TIME_T24,0.48792980131962266,14636.816397829485,146368.16397829485,5.8547265591317945,11.379506768897546,9.897607424253605,-824.865873415105,-846.1429876082561,-0.005780922330444289,-0.057809223304442894,-0.057809223304442894,24,96
