datetime,scale,sigma_annualized,prior_return_count
2022-05-03 16:00:00,1.0,0.0,5121
2022-05-03 20:00:00,1.0,0.0,5122
2022-05-04 00:00:00,1.0,0.0,5123
2022-05-04 04:00:00,1.0,0.0,5124
2022-05-04 08:00:00,1.0,0.0,5125
2022-05-04 12:00:00,1.0,0.0,5126
2022-05-04 16:00:00,1.0,0.0,5127
2022-05-04 20:00:00,1.0,0.0,5128
2022-05-05 00:00:00,1.0,0.0,5129
2022-05-05 04:00:00,1.0,0.0,5130
2022-05-05 08:00:00,1.0,0.0,5131
2022-05-05 12:00:00,1.0,0.0,5132
2022-05-05 16:00:00,1.0,0.0,5133
2022-05-05 20:00:00,1.0,0.0,5134
2022-05-06 00:00:00,1.0,0.0,5135
2022-05-06 04:00:00,1.0,0.0,5136
2022-05-06 08:00:00,1.0,0.0,5137
2022-05-06 12:00:00,1.0,0.0,5138
2022-05-06 16:00:00,1.0,0.0,5139
2022-05-06 20:00:00,1.0,0.0,5140
2022-05-07 00:00:00,1.0,0.0,5141
2022-05-07 04:00:00,1.0,0.0,5142
2022-05-07 08:00:00,1.0,0.0,5143
2022-05-07 12:00:00,1.0,0.0,5144
2022-05-07 16:00:00,1.0,0.0,5145
2022-05-07 20:00:00,1.0,0.0,5146
2022-05-08 00:00:00,1.0,0.0,5147
2022-05-08 04:00:00,1.0,0.0,5148
2022-05-08 08:00:00,1.0,0.0,5149
2022-05-08 12:00:00,1.0,0.0,5150
2022-05-08 16:00:00,1.0,0.0,5151
2022-05-08 20:00:00,1.0,0.0,5152
2022-05-09 00:00:00,1.0,0.0,5153
2022-05-09 04:00:00,1.0,0.0,5154
2022-05-09 08:00:00,1.0,0.0,5155
2022-05-09 12:00:00,1.0,0.0,5156
2022-05-09 16:00:00,1.0,0.0,5157
2022-05-09 20:00:00,1.0,0.0,5158
2022-05-10 00:00:00,1.0,0.0,5159
2022-05-10 04:00:00,1.0,0.0,5160
2022-05-10 08:00:00,1.0,0.0,5161
2022-05-10 12:00:00,1.0,0.0,5162
2022-05-10 16:00:00,1.0,0.0,5163
2022-05-10 20:00:00,1.0,0.0,5164
2022-05-11 00:00:00,1.0,0.0,5165
2022-05-11 04:00:00,1.0,0.0,5166
2022-05-11 08:00:00,1.0,0.0,5167
2022-05-11 12:00:00,1.0,0.0,5168
2022-05-11 16:00:00,1.0,0.0,5169
2022-05-11 20:00:00,1.0,0.0,5170
2022-05-12 00:00:00,1.0,0.0,5171
2022-05-12 04:00:00,1.0,0.0,5172
2022-05-12 08:00:00,1.0,0.0,5173
2022-05-12 12:00:00,1.0,0.0,5174
2022-05-12 16:00:00,1.0,0.0,5175
2022-05-12 20:00:00,1.0,0.0,5176
2022-05-13 00:00:00,1.0,0.0,5177
2022-05-13 04:00:00,1.0,0.0,5178
2022-05-13 08:00:00,1.0,0.0,5179
2022-05-13 12:00:00,1.0,0.0,5180
2022-05-13 16:00:00,1.0,0.0,5181
2022-05-13 20:00:00,1.0,0.0,5182
2022-05-14 00:00:00,1.0,0.0,5183
2022-05-14 04:00:00,1.0,0.0,5184
2022-05-14 08:00:00,1.0,0.0,5185
2022-05-14 12:00:00,1.0,0.0,5186
2022-05-14 16:00:00,1.0,0.0,5187
2022-05-14 20:00:00,1.0,0.0,5188
2022-05-15 00:00:00,1.0,0.0,5189
2022-05-15 04:00:00,1.0,0.0,5190
2022-05-15 08:00:00,1.0,0.0,5191
2022-05-15 12:00:00,1.0,0.0,5192
2022-05-15 16:00:00,1.0,0.0,5193
2022-05-15 20:00:00,1.0,0.0,5194
2022-05-16 00:00:00,1.0,0.0,5195
2022-05-16 04:00:00,1.0,0.0,5196
2022-05-16 08:00:00,1.0,0.0,5197
2022-05-16 12:00:00,1.0,0.0,5198
2022-05-16 16:00:00,1.0,0.0,5199
2022-05-16 20:00:00,1.0,0.0,5200
2022-05-17 00:00:00,1.0,0.0,5201
2022-05-17 04:00:00,1.0,0.0,5202
2022-05-17 08:00:00,1.0,0.0,5203
2022-05-17 12:00:00,1.0,0.0,5204
2022-05-17 16:00:00,1.0,0.0,5205
2022-05-17 20:00:00,1.0,0.0,5206
2022-05-18 00:00:00,1.0,0.0,5207
2022-05-18 04:00:00,1.0,0.0,5208
2022-05-18 08:00:00,1.0,0.0,5209
2022-05-18 12:00:00,1.0,0.0,5210
2022-05-18 16:00:00,1.0,0.0,5211
2022-05-18 20:00:00,1.0,0.0,5212
2022-05-19 00:00:00,1.0,0.0,5213
2022-05-19 04:00:00,1.0,0.0,5214
2022-05-19 08:00:00,1.0,0.0,5215
2022-05-19 12:00:00,1.0,0.0,5216
2022-05-19 16:00:00,1.0,0.0,5217
2022-05-19 20:00:00,1.0,0.0,5218
2022-05-20 00:00:00,1.0,0.0,5219
2022-05-20 04:00:00,1.0,0.0,5220
2022-05-20 08:00:00,1.0,0.0,5221
2022-05-20 12:00:00,1.0,0.0,5222
2022-05-20 16:00:00,1.0,0.0,5223
2022-05-20 20:00:00,1.0,0.0,5224
2022-05-21 00:00:00,1.0,0.0,5225
