symbol,onboard_date,delist_date,source
AGLDUSDT,2023-07-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
YGGUSDT,2023-08-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DODOXUSDT,2023-08-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BNTUSDT,2023-08-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
OXTUSDT,2023-08-11,2026-04-15,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SEIUSDT,2023-08-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CYBERUSDT,2023-08-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HIFIUSDT,2023-09-16,2025-10-03,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ARKUSDT,2023-09-19,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GLMRUSDT,2023-09-26,2024-05-15,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BICOUSDT,2023-09-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LOOMUSDT,2023-10-11,2024-12-09,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STRAXUSDT,2023-10-11,2024-03-15,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BIGTIMEUSDT,2023-10-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BONDUSDT,2023-10-15,2024-12-16,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ORBSUSDT,2023-10-17,2024-12-09,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STPTUSDT,2023-10-18,2024-05-13,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
WAXPUSDT,2023-10-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BSVUSDT,2023-10-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RIFUSDT,2023-10-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GASUSDT,2023-10-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
POLYXUSDT,2023-10-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
